Rk,Player,GameNum,GameWin,AcePer,firstinPer,firstwinPer,secondwinPer,PtsServe,Hard_AcePer,Hard_firstinPer,Hard_firstwinPer,Hard_secondwinPer,Hard_PtsServe,Clay_AcePer,Clay_firstinPer,Clay_firstwinPer,Clay_secondwinPer,Clay_PtsServe,Grass_AcePer,Grass_firstinPer,Grass_firstwinPer,Grass_secondwinPer,Grass_PtsServe,ImgLink,D,E,ImgData
18,Tomas Berdych [CZE],59,66.10%,10.30%,57.40%,78.10%,50.80%,6.2,11.60%,56.80%,78.50%,50.70%,6.3,6.10%,56.30%,73.70%,52.40%,6.1,9.80%,61.50%,80.90%,49.10%,6,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Berdych_WM17_%2849%29_%2835347495174%29.jpg/220px-Berdych_WM17_%2849%29_%2835347495174%29.jpg,15,3,18.png
19,Hyeon Chung [KOR],21,38.10%,3.50%,66.70%,66.30%,50.90%,6.3,3.90%,64.30%,65.80%,51.90%,6.2,3.00%,70.60%,66.90%,49.10%,6.4,2.90%,59.50%,63.80%,53.20%,6.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAHnh6gPIROVqTKoIOdKJTJoFHb9jO2zaLHlwfHPRBu15DuFHylQ,17,3,19.png
20,Fabio Fognini [ITA],49,53.10%,4.10%,56.40%,68.00%,49.90%,6.5,4.50%,54.00%,67.40%,49.40%,6.7,3.70%,58.90%,69.50%,49.80%,6.3,8.10%,58.60%,75.70%,58.20%,5.9,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxMSEhUSEhMVFRUVFRUVFxUVFhUVFRUVFRcWFhUVFRUYHSggGBolHRUVITEhJSkrLi4uFx8zODMtNygtLy0BCgoKDg0OGhAQGi0fICUtLy0tLS0tLS0tLS0vLS0tLy0tLS0tLS0tLS0tLS0rLSstLS0tLSstLS0tLS0tLS0tLf/AABEIAMEBBQMBIgACEQEDEQH/xAAcAAACAgMBAQAAAAAAAAAAAAAEBgMFAAIHAQj/xABEEAACAQIEAwUECAQDBgcAAAABAgMAEQQSITEFQVEGEyJhcTJCgZEHFCMzUqGxwXKy0fAVguE0YnOSs/EWJENjdYST/8QAGgEAAgMBAQAAAAAAAAAAAAAAAAECAwQFBv/EADARAAICAQMCBAUCBwEAAAAAAAABAhEDBCExEkEFE1FhIjIzcYEUkSOhscHR4fBD/9oADAMBAAIRAxEAPwBzwmGo1Yqngh0qQpUOpBQDJFUPd0fItRBKkIG7itTh6sVWvSgoAqZMLpQMuD12pjaMVCcOKAKA8OvyqNuH25U0LAK0lwwp2AmYvB6VRT4WzU942AUscQh1qufBZDk5dxTHs88hN7Biq20ICaADptVhgeKSclFxbU+1Y266A68q6J9GH0fpKZcVjIwyGVxCjDwuoJBkKnle4HpfpXSZez+FLBfq8IVADpGgJJvlF7bC3x087z6U0De58+8aw4lXwsqtY3S1h8GHw3pUixUsRycttda+lOPdisEyMwwsdzuVULt/Da/zpGxvYHw3juLkXFlNhfYMwJ9SLUKLQWmcww/FZ7g52A9dwOWu9W8XEhMxWXwyAjUCwZTsfUX+NWfFOxEkV5HZWS59rQrbYMLm40OunKqLiOEWPXMGA8IZtPMZTyIFxoajJDTH/hvH4gFWRiL7EqfzI5ev50zYSJJFDIQynYqQQetiK5HwrGEKHIDBGBZSLhlGhJHO17+V6652VliWHwm0bHMgJ0AbUgcgM2aw9KIsjNGs+B8qBfB62ptlw4I0oP6prTIC1/h3lUseA8qZhgxWowdOxi5Jw7yoZ8FTe2D0oZ8FrUuoVC2nD/KiPqdMaYMVrLhKOoKFLFYS3Kgw+U00YuAWpa4koFVZHsW442wzCYvWrvDSk0p4GS5FNXDjVWNstyRoMvXtSFayrzOXapaoZWtUrvaq3EzVnbomkSPJUeehWkr2NqujwQaDA1YZKGZq0L1IiGCSvc1Bh63V6YBgatZX0qDPQuIntQANxCaqaHDNPJkX4m40HM6nWw1tU2Pnpf4niFjdSJCs6qHTfKM24bTVmFlA2Hx0ozZOhGvS4fMk0duw6hVVF2VQosNLAWqRVF7/ALGvnXEcTxOMnK9/MiKdcs0ouRppZttdgKaMLAYgC0jtfb7SS5tyve9/605amMSK08mzsUsYItUbR2GgA9R+1c2wuLxNrxTTIemfvF05WkDW+FqIHbPFwG08SSr+Jbxt8iSCflTjqYP2B6afYk+kyP8A8qUXxSSOqLfKAOZyg6A2U6nzrjCY3O4jkH2fshbXN/dt58vjXWuM8dwXEI+6kGVgbhJVsQ3Io22YX3FLXBuxUiSLedXiWVZcpSxYrsSb6Noov5cqsbUuBRhKPKKnE8EOFUmxy+Et5ZtARR3ZDiMiFlQtlU+JUAPMagH503dp8HbCSnonTprt8Koew3CTFEzTCxkNwLnQcswBt561BqmEqo6Bh5PDckm+vi0Pyr0vVccYOtYuKqVlPSWYetg1ApNUokpiC89RO1RF68zUCJc5FRvLWrtQU89qCUVZHjJdKV+Ka1a4zFVSYmS9UZJHS02G9zTCCmPh01qWYmsat8JiBUMci3PgvgaI5dKyq2LEi29ZV/Uc/wApjNPLVRiZda0kxdCSTa1F0yC2C0N6JijNA4aSrSBqsXBXI2ENRSQ0egrWVKZErlWpAhqZItaIWOgAXuzQWNiq5KUBjloGKWPW1ecW4TBJIJj9pYI8iqcpW5+yUsD5gHTlU3ExSvxELGwmuQQcxsTYlBdcw56gfKsuoi3ubtJOm0XXA+DKs0sumjsqAbWBIvrUvHOKxxBg3hc6AqNb9KH7Ozsygn3tRc/qKJ7QdnxiYje5kAOR9sp/D6Gsa3luaNkL0fa+aJs1i45mwJ062q0wvbmDFDu3XK3K43P7VzqSXuWtlbQ2bqCPjXsWIV2BZbG+h2PxrU4fCJKLe37MesXh85sVFj/eta4F8RAbxObfhPiX0sdvhaq5Mcyx6EeWY2JoJMZjS10UML7BlP71nxp8p0acmypqzoD9oe9gKsmV8yjqpG5I+X50CccaXYcU9rSWDgm4FtPLSpVxVzWlTl078nPnCPU6L0Y40bhsTeqKIXq2wUV7VKF2VzovcM16NVTQ+Bjq2iirSjNIDVTW4Q0akVbNHTIlZMulU2MvTJNHpVHxFaTJwdMWMa5oRDRHEDvVeklYsmzO1p5/CE2qRWtQyyVMGqCZpckwyLEmsoZTWUdZX0RLyTFV4oL0HGCxq5wSWq7DcmcnIkkT4LBGriGC1aYY2qczitlUjMeh7VsWvQcstYktRIsLvW4ahlkrcyU6ETPJVbjJKnkloHENRQFDxI0ucWTNEf4io8ywA0+dM2PjJpS7TOYljJ2MhPytUM0bgXYHUywxU5hjXLcZQNRr6i1XeF47EUHeGxtrrb59apZ5A6rfY+I/wgXpL7RcTKTMiDMRueQPNV6261y8cZSdI6sulK5DF2p4Zh5mMkbBWO9zv8KruC9nPtFZlLC9/KheD4tY7YiRc+TxZORtv/X4U98K7a4aQZliKsRaxGh9Lc6vanFU3sJdMn8O4j9scKxxByCygADTQdas+zEEgsXAAGua+pA3FuVG8YxI78XA8ShvTU6fpRD/AHRyjVvDp0O5+X61XFudY6J5P4acxZaQli3Uk/PWrDh2p1qePhnWpIcFlOldOWNXsceOV1uHwirvh62qrw2GO9WEJIpKInKxhwzVZQy0uxYjSjIMRUiDLwPWFqBixFT56BGTNVDxI1bztVRjUvQNCpxCqjNY0w47DXqmnwBvpVUsdmvHm6UeRvU4ehGwrCto0al5GxP9WE56ytBAayoeQWfqhig01o+GSxqCLD6ULj2KirccelGOUupjLFiltvUEmLHWkWXjLhrDarfh+KL2qXmJ8EnicVbGES3oiM0NhkvVhDFTRnZi1KBUqwVMsdSEBvEaHljq3MdDSxUAUc2GvSP9IeGuioN1Bf8AP/Suorhr0g9uo7Yi3/tr89f9KpzyajfuaNNFOdP0Ffs9xDPGFbcWU36efwqkk4cZ5JWU28fhP6GpcbGYr5Q1n1FuZ6DprVr2SwbSIyXCuTmUHfbUflVXQoJzj3NKm3LokBxYM/cy/ZsRuTdHFrF0ccr29OlCYrgzQBWE/dBthm3v0y6/lRHEce0bHDzo1r32/Mf1otFhSLvsgvbQka+W9Qbad+ppUYyX279yu4dO/fKrHMFB2vfyvfXU2GtdJ4Rw4mFXYauM1uin2beo1+NKHZDArNLEhtZ5AZG8idR8Rp8SeldlODBGn5VfhW7lRi1M/hUbvuKBwHlXv+G+VM5wWtS/UhV7ZiQuxYSwryWCr9sHQ8uGoAoghFSxycqMlw9aRYWgCaAmrCG9a4fDUdHFakAM8d6CxMNXISoJoqAFubCX5UN9Q8qZVw1e/U6YxXfh1+VDycN8qbzg6hlwflT6hUKQwXlWUxHB1lFgbCMAVR8Y51d4iS1LHF8UNaz5ZpI6el0zmylKjNV5wneluCa7GmDhUmtZ8M7Zp1uncEOWDS4qxiWqvAyaCrOJq3HEaoIWpRahw1bZ6BE16jZamw2FZ9RoOp/brVph8IqeZ6n9qAA8JgrAsw5aL/WuVcaBlxLFudxfz5V2dqRe2HZ/K31iMeG93A5E8/Q1Tmi3T9DRgkk2jjvEIvEYzqL7HkaqwJcM4bWwuVKj4AHpTNx2H7TOOdD59LVR5jhtydDyVlXVwwAcdVmzSZWJuLn16fKhcfjpMURGui31too6X61PisHExuVF6L4ZhixyRJc+Ww8yeVNTjzFbkXilxJ7DD2Mw2WRFT3QTfzPhB9bn8q6dHKVzhTqgX973pY7GcKEbEHVlAd26sb5VHkP3piwRvJJ5ituHG4x35OfnmpS24LKJw6h7WuOXXmK9dCPTrQfCWt3kZ5eIeh/7VZ4R6slEpA2NB4g1fTYFW28J8tvlVLxDCSJutx1Go/0qugASL1vEgqDPUkclOgD4zUyvQyNW2ekATmrRjUBlrwy0UBLXoaou8FeF6QE5ao2NRNNWhloAkyivaiEleUUwFTi/EAoOtJWOxjSHTaj8fMZGtXkeCrm5HLI9uD2elWPTx+Lkq4ARrV5wuU3rxMH5UZhMPY08eKSZXqs2PJFjHgZtquYHqjwa03cH4SXXM9wDsOZ8/IV0InlsyV7A8IZzZQSfKrnB8LA1fU9OQ9etHwwqgsoAHlWxNSKj2srysFAHtQyLvzHT+9x5VMTWtAHJu3fZ2xMkVlXdgAWUeYA8UfoQR0pOi4YW/wDV/wCVCfzJFd94nCHQqQDcW1F643xXBdzK0Y18Vl/e3pSeGMnbRpxZ5JdNgWD4DGWAOZyfxNp62W35mmbhsKKhCqBqVFhYae0betRLF3ceb3mFh5DkKNwENlUdBc/361dCEVwivJklLllzwOKwmfq6r8AKOwyfadPCfjUPZ0XhY9XJ/OjcJFeQnyqVlJBhtJj5qRVlgQb1AuG+0VvUflReH0zeppMA0tqPWpgaHXW1eo1z5DT41BoYHxfhQkW6ABxtb3vI0rrGRT2pqi4zgrNnGzb+v+v9aiJlTG1bh68EdTJBSAjtWrUWIq8aKiwBK8Z6meOtO6vRYEVekUQkVbd1RYAlqyiGjrKLFRyvApc61dwRA1Q4KS1XeEnFZcSSR6LUSlJ7FguHFaJBrWpxVqP4ND30ioPePyG5PyvV2xhm5RVsYezPBs32jjwDYfiI/amwNrUaAKoVdABYDyFCyYizAct/lVyRzm7Ya8mtvia2BoJWOa+96kZ8zZB6sf2p1QghTm15frW960U8hsK0L3NhsKiBuTWMbaVmwvXirzNMCNo76Uq9q8FHmjsozLck+tN8jZRelbtDJDEpeeVUJ6nxHyVd6aYIVJgXYDpVomGKoT5WqnOPe7d2iqBqXlbIADtcb/l8aFk7TxqCHnZ2vouHVGA9SwYHn0p+auI7j6X3HngQCwakDfc2qxwc6BvaXXTcVySXtATdhDimFzd2mMQ/5UNh8qhws8srhY8NKSbkZcW6tbTdibDcUfE+wrR2yQi4tb4V6iWUnzNcWkixUDZ5IsXCu2ZZUm/nazfCj+Gds50sBiQ41suIUR3t0fa/lSba5QLfg6+TYedbIthSdw7t9EdMRGYmtoQwaNj5Ny+NMeGnMgDEg38Wmo19lR1oTT4CqLNTWmKjzqV/u/Ko2mCjqdgOdztUiX57mkBQmHWp0jqTECzH5/Oo71ERtkrwpWBq1Z6QEUiVosdSFq1vQBuEr3JUYavS9AzGSsrTPWUCOMZ7C9bYbiY61BM2lVIrmObXB7XT6eM1uM/+Ig866L9HcF1ac9ci/qx/QfOuM4eMu6ou7MFHxNq7dwzFJHBHEo7tUVLXIuWILFTbdtCT61q0vVNtvsczxlY8MYwXLLrEY0dedqHw+Jz2zbhmU/Lf5WpY45i2WRkB3GZfMc7edCLxd2idkNmyLJofejNnHxAA+Nbeo4Sxtqx9lxPdICfbY5UXmeV6Iw8BRctxmbV26VwTj30iYt54zmSJG8OdQcyKCQzZiSNBroBerP673UZxGId5c/3cTOzhifYFibE21Jo5ItVsdN7QduMHgz3bmRm6RIXPwtpS7P8AS5CvhTB4i/ISZYyf8oLH8qqux/ZebEiTFykd4ToG2HPIvSwtVn/4fxTtrERbQXKhfW99fhRSIkP/AI74hKLiHDwX2Dd5M3xsVFVsPaDi8s2WWbuoVN3aKONQy9EYgtc7b6U98K7GxKM0xMj9ASqDyFrE+prmX0mcYSKVsLhXJUErIQD4XG8Ssd7czy2p7cITIu0vHM73WQE3N7yGyAD3zffbTf0qDD4gt4sImcoPHipfYU21yDy12tfnehuEcEJiT6wpSMeMCwBdj72uuX03q5lxSkZLJkUWATwknkoHID1qWWEU0rv19P8AYsU5NO1X+CixUbMQ08rSk7B7hfKybCpioACqLea6W89NaMgwTzABVJc+yh0Pnrt/Sp8DwVs5EnsIR3rRSRvkPJSVzZTqNxpUZSUV7Fii5Oka8Pjd1KxBnCakKpY/Gwvv13NAThhfdWte6nZRra49OddAThyR4SZMMTIStxf7zNzFwLXC3Atbc8zSOJBl9o3Bsb+83QHoPWlGakrQOLi6YD2g4NLinjliysndAC7AFLEk5h0Nx8qp5+zDKFZpPbvlsPBnHsgk8m1F7cxV7BjQimN2yhWy5rgEFgTGBf3dwa8x8zrHJHI3jvqDa9t0K/HW+3zoBLcpOAY+QyGJnWJmBBJH2d/dV19nXQX5X9abOAdpsRgHMZ0B1aI+yyn34GOxtfTY1z/Goym58PeDP4tLhtARy1Ktb512XDcOj4rgIlE8byRxqzSlCCshXSNLHwpca77C1uRtLkOB44Xio5Y0nRrxsLx/icnckfivceVqsc5ALNoToB0rk/0PcXZJ5cFIb5lMkZt4iQQGUdARr/lPWuryA6Ei55KNh60t+GAJxDQr6f3+tCCSieKghVJ3zG/xH+lVnfCkyLCTJUbSVCZa0aSkInMled5QrS1gkoAKMlRtLURetWNICUPWVB3grKYHGZ59KDBoRcTUolrLLTM9Lg8RhFcjd9HODEmMDEErEjPcC4Vz4UJHkST8Kbp8aokyKcywqRc65mdxCCT1EaHX/fNc07P8UfDSGdJCmUWsPfJ90jYjc61fRdqI55FzIEzFQ+TRbBy98vLVjt1q3BlhiTg+f5GXX6XNqpxzR3Xp3/YZsWWxOHWRfvYTy3I6jyqmTGlTmAtfNmXYeIWceQOhpg4fAsDZkcSwuL+HUge8VtzHNemo5iqjj2CVWuLFWGmU6OrbMv6Gpy4sxQ2k4sqvoqxkKgSyAM6iRXJAa1mzadLgV0LhXAYca/1zExKSfukF1CJyJAtdjvXF8PxLDYeYonhVgySMASv+6R5X00866jwLt7hIlEc2IRWXS2ptp5CnFuyqcUo33OmQRKihVAVRoABYAelb6bnl8gKWIu3XD8hf63CQATbOMx8gm5PlXIu13bfEY9mXMY4L+GJTa45GQj228thy61ZRnOl9tvpDw8EEiYaZZJ7ZQU8SoToWL+ySBewB3tXHuHrArM+JMpLqxQIVLK7bF2fTfU9TVVPJ9rHGACFs7n1F/hYW+NEvLck3Iv8AhII8hl0qUWlb7iki4wXa6WJe7lzSi2UFmEhRGtnClgcw0BAJNiKKn4yZcgw4Twg/esEK6aWUHxHnqPjSq/LTU6gjw35aciPSo4wCwVmFyQPECp16Fdz6/nURoNx2FmjP22a5GjNpm62YaH0rpPZLGwRYWFUAVJFZZV/E4ABJ6k6/IUhrg8Sg7sAyLbVCRKLX36qdeQG1WWCbu4SijLm+0jDnxLIlyQTzU6i/Ss+pTcLRp0tddPuMPEJW4c4ZGZoXuVPQ39hvhsatODcQw+IOd4YgzaZmQG/U7i58zelLg/aPvQUxFnjfQo2wHQdK2xnB5cORJhLzQnXLfM8fw94ee9YIzlF7bHSnii1Uv3JPpajjRYgsCohuMwAEWUbLnsBnJ11toBvrVZ2e4OMiPKECEZgikFmBAyqWHK9tP0py4P2jiaPLP8QwBDf5SNPSteNQrPErYYBzEtkiFlvbkh2uBsPlWvHqVLZ7Mxy0zg77HP8AtJhTLKl1uFDKwvbIQ+m51ABOnOxph4J2rfCw/VoI42RWLZgq3LH3nZtMx9dgANKS48c7zsZNCTl7s3DAj2gySaZhV5CyjUkgDpkF/LwgA/M1HPknHZHR8O0uDNcpK3ff/v6nuMx8pxST5mErvqwZi3jBU6m3lptam7gkTMsjyyPmWxAzPdlsWIBW2tkbf8QpLx0maeJd7FN9+bkG9uhpghlkHs6eht+1V6yTxyh1c9Ks1+G4o58eZY3S63T+39h0w0pTNlkdk2s7lhYMSjqDsSuX4etS/XRSjg8XIgI1sQRYnMBmABtfbQD5CtIuKg86t0uZTjSOT4rpJ4Mib3T/ALDkuMFaSY0Uqf4sBzqOTiy9a0nJGk44VgxwpPbjKj3q9j4up96gY5LjRWzY0Upf4qo51oeMr1pANLY4da9pPbjC9aypWBzuQWats1e4sWatYoy7Kg3YgD46VpulbIVbLvB4MNhwH99i4I3W3hHre1QS4VYxogN9mJJv6dKbMdwwiNe7XMEUKU6gc1/3v1pcM1gcuo5g/owPP1rz3mynJy7NnvNFHC8MYr5kq9yHBcZngIKMRYjTzG1FcS7VSyxtHZVBJOnuk+1lvyOvzqrxDqeRB8tvkf60GwrTjk1wY9VjjJ77+/cElwxJA57CtJIC0jBOVrXO9gOdHxjLqd+Q/eh20Na4Sb3ODqcUIy6V+TWCOW9shv8A3zpr4D2QxuIKs0fdxHxNI7IPANSVQHMTa9tLGqRJbjzpq4Z2oxBjMKqLiJhnubBApFyvW2m9WqZmeJepJ9FvDI5cTiZZ0idQpURza3DG5ZSegFi1jvV5w/sXhopWxE4zIXZooiCYlS5KCQ5rtYc2yiw150pdne0LRxFDEHjLAuOpUXAvYi2t7W5VfyDFcQUog7lSPuyZCrKfdYr7N9L6AAA30vU9u3BVT7g/bTtNh8SFgX7NI3LCQIxR/CVHdx3uiC9gBva9UXDMDGxzCXvApBCAFSSNtG2F/wBKoJ2ysVN1NyCDqLjTb/vWsDEMGW1wb3UjccivP5UCOi2IU5yOrFgR6KrDy6cj1NBY5hYqSbkagkEKvIDXf++lRHjimJe70bmhYWDc2YHYdNv6UeI4LLLJmGYlrG1lKkjQqj3GvPw3trtalKicbu0eSQEbaEb/AN8xVz2d7QmHwvcrzA3X0HMVUrh5kkEToSxOqq/eGMWurEnxAEa630t1tXqoHs4I9Rz/ANa5mbH088Hc0+VZl790XfF8TDI4kjDa7noasOF47JYrs2/QHy86WwSNKnwsrpqouOa8iP61ka9DVKCqhh7Ydn1xqiaPL9YRbgn/ANS3usevQ0u8LiCE96jK0YBkv4XUnZfFr5/Cr/B44GwQ3vYZTuL02fSzwuKXh5xBAE+HCWk2ZkJCsjHmNb26it2jlGcl5itJnL1E8mnUlidOS59Pde4hdk8CuIaSeQsPF4bWBI1B1I03O3UU2Q8Nh6P/APpJ+zUl8K42qLGAhQbLe4R7e0Fa1rjmOVPHDMWzrqFHpe/xPOs2syZJ5nKSonpX5eFRxy2XuaYrhKgXjZ1PQnOPiGv+RrmHEJGWaQbeI3HIE7geV66/muCK5j2ww2TEk8nAb4jwn9Kno38ZHVzlLHUndMpzO3U153zdTWWrLV0jmGhkPWvRK3I1hWstTAzvm/Ea171upr3LWWoFRqZW617WAVlIexvxJLNVz2I4dnlMrezGNPNjtVVxfemzspOiYdF5tdifMmw/ICo67I4Ydu+xZo8all37blxPxYxgnuJSB74XMoHnlvb40mcXxUUz95H4W5kaX9a6dwviATS171Hxzsph8QM/dBGPvJ4T8bb/ABrj4nFK0dbrcZHKO7Db1Jh8ApNzew1OugA3orjfZ2fDMT95H+IDUfxD9xQXFZssKKp+8uT6LbT5/pWlfG0ovknPUNRcpdgDETBmJAsNlA5KNvjVZj3IcG/KjUq87OLEcxkVSVIsWts4KkX/AL3rofKtjiq8k93yJyzsNmPzpj7N8Z7pZRILmRQisLXXXxFh0tQvaWQMyQxRBRCoU5LG7MASCRvYi2vnVX9Tl3yNU1uiDuMqsaeBv3Dv3iAxi97qbmx0ytyFrE+grpnBO0GFw2G+sic944AZShk7pb2tYa7ne/iNuQ051hsUHRO8A1VQykXF1ABuD1tf41BieDzeFcNmdWIBQaKh1y3YnRdDzsLedaf0/wDDUo7+pQ8663GW3oTdoTDicTJLhpFTvT3mWUPZAqjO7EKy3YqznNawex1Jr2WMDLeACMFsjIRkAK+PEPa6D8QF9hYaKKin4BJEM80dri+ZfEgUbs2X2Rz1AozheGeR0SJHzTJnjuGQyRw3JKsbHLlW/nYWrOy1e5TT4RJdY3W7KCiyXQkKftJmJ0C2BsARpffKb9B7MfR40RDpMGZku4uVRAbG43NyAACeh9KWcTg3LZXw5ZpdDkjtIyaZFQxi52X2rjauycNwzLho0mVVWGJe+bNexVRmTMdwoFiQeVqB/Y5v2t4IvdmZI5Dqqu3izSIhvdHUnY3axtcAE7C1Cgkk+0DeEquWKQWZTpe8oBZja+9rlr0+9o+1+FeBu57yUCx8OqogI0ufFcmxIOmnkLrUBbEpmw2Fka1mLP8AZxgk6BpRcFiSCE3NxpyMZRjJUycMji+pclPLERvt13F+lxpeoGNqa8XwNII4ZsQyuZbkxWdEXIbMtzZpCDpqADfmN6ztlx7AjuZIIwX176Es4PK2U7AC1gLWII6Vmy+HyjjWSPDN2n8YjPI8UlulyTdk+F5nE8miqQUHU/i9Onn6Ud9KXaIDCrhg3imYMeZyIb3PTW1Lkvb+ML4IZM3INlC38yDf8qSeJ8QknkaWRrs3yA5KByFQ0+OadyVEdXmjPh2zrPZ3huHm4YyMb/8Al1bVbd1L9pL3ik7N4wD1AG4NV30acSWZXhlLZowHUgnVDYEEeRI+dIo7UYr6ucL3n2RAUgKobKBlCFgLlbAD0FttKsuwcskcjzLcALk9SSCR+Q+dW6lLy25FGC5ZEoHZO4XQhj8x+lJ30gcOJRZV1yHxW/Cefzt86IbtISAGA08rV4McJQVOoIsR5HQiuZDKoyTR0J6eUotM5+DXl69kSzFRyJHyNFYbAlt67FnJoDvWXq9Them1QYnh/lRYUVFZXsiWNq8A5UyJ5WUfBw+41FZRZL8AvF/aq04dtD/CP3rysqvxD6aNGg+o/sP+B5U3Qfdj0rKyuPg7m7N2KLi/velce4/7Sf5v5q9rKu0X1WQ1H0WVy0Zwv7xP41/esrK6z4ObDkG4P95L/Ef1NWUfOsrKsRU+SGH2X9W/QVfYD7pv4B/MKysrraL5H9mc3X9vvH+od2n+4xP/AAx/M1Z2e/29f/iW/wCiKysrkz+Y6i+X8D3xL72P4fzLTSv+yJ/Ev/VrKykROH47aP8A4zfoK6/2b/2CL/6v861lZUXwAo/S5sv/ABR/JXEsZu3qf1rysq//AMo/kgvnf4IuVRNWVlUos7GtOnZj7lPVv1rKysmt+mdDw36v4LqSt+E+3XtZXF7Hc7CuPbPqf1q/wFe1leg7Hl+5ZChcTtWVlRGLWP8AaqLC+1WVlWkBjw21ZWVlVFiP/9k=",19,3,20.png
21,Stanislas Wawrinka [SUI],64,71.90%,8.30%,58.10%,74.90%,56.40%,6.4,8.50%,58.10%,74.40%,55.80%,6.5,7.70%,58.10%,76.10%,57.70%,6,18.90%,68.70%,81.90%,59.90%,5.8,http://www.yonex.com/_assets/images/Wawrinka-RG2017-2220-t(4).jpg,1,5,21.png
22,Milos Raonic [CAN],69,75.40%,16.00%,64.10%,80.00%,55.30%,6,17.20%,62.80%,81.20%,53.90%,6,9.60%,63.00%,74.50%,55.30%,6.3,5.60%,70.00%,67.30%,55.60%,6.9,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Raonic_US16_%2860%29_%2829827583476%29.jpg/220px-Raonic_US16_%2860%29_%2829827583476%29.jpg,3,5,22.png
23,Albert Ramos [ESP],65,52.30%,4.50%,63.00%,68.30%,51.30%,6.5,5.00%,59.00%,68.10%,51.10%,6.6,3.70%,65.40%,68.60%,50.90%,6.4,16.60%,72.60%,71.80%,55.40%,6.3,http://ws.protennislive.com/api/Atp/PlayerImage?playerId=R772,5,5,23.png
24,Nick Kyrgios [AUS],54,72.20%,17.40%,66.50%,75.90%,55.20%,6.2,19.40%,63.70%,77.70%,54.30%,6,13.10%,69.10%,74.80%,57.30%,6.5,8.40%,62.10%,78.00%,48.40%,6.1,http://www.atpworldtour.com/-/media/tennis/players/gladiator/2018/kyrgios_full_ao18.png,7,5,24.png
25,Adrian Mannarino [FRA],54,48.10%,6.40%,59.70%,70.40%,48.60%,6.4,6.10%,57.80%,69.10%,50.00%,6.5,4.70%,63.20%,65.70%,43.50%,6.6,9.30%,62.50%,70.40%,45.20%,6.3,http://www.atpworldtour.com/-/media/tennis/players/gladiator/vibrant/mannarino-full15.png,9,5,25.png
26,Kyle Edmund [GBR],41,51.20%,7.30%,59.10%,72.20%,51.20%,6.3,7.20%,58.30%,72.10%,50.50%,6.3,6.50%,59.70%,73.20%,55.90%,6.4,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Kyle_Edmund_Nice_2016.JPG/220px-Kyle_Edmund_Nice_2016.JPG,11,5,26.png
27,Filip Krajinovic [SRB],5,20.00%,5.20%,67.40%,57.50%,42.00%,6.7,8.90%,62.20%,64.30%,39.20%,6.4,2.30%,71.50%,52.80%,44.90%,6.9,4.20%,65.70%,71.00%,59.30%,6.9,http://www.atpworldtour.com/-/media/tennis/players/gladiator/2018/krajinovic_full_ao18.png,13,5,27.png
28,Borna Coric [CRO],46,47.80%,8.10%,62.60%,70.60%,52.80%,6.2,8.10%,62.20%,70.00%,52.10%,6.2,8.80%,62.90%,71.70%,52.80%,6.3,22.10%,63.70%,82.80%,56.00%,6.1,http://www.atpworldtour.com/-/media/tennis/players/gladiator/2017/coric_fullao17.png,15,5,28.png
29,Gilles Muller [LUX],59,59.30%,19.10%,60.50%,81.40%,52.60%,6.1,18.10%,59.20%,81.20%,52.20%,6.1,8.00%,53.70%,67.80%,33.30%,7,10.40%,64.90%,79.70%,53.80%,6.1,"https://sm.imgix.net/15/04/gilles-muller.jpg?w=640&h=480&auto=compress,enhance,format&fit=clip",17,5,29.png
30,Andy Murray [GBR],87,89.70%,8.60%,59.50%,76.40%,53.40%,6.2,8.70%,57.80%,76.40%,53.70%,6.2,7.30%,60.30%,74.10%,52.40%,6.3,12.90%,59.20%,73.90%,53.10%,6.1,http://www.tennisworldusa.org/imgb/44892/andy-murray-the-hard-life-of-a-world-no-1.jpg,19,5,30.png
31,Feliciano Lopez [ESP],55,56.40%,12.60%,58.30%,76.80%,51.30%,6.4,13.80%,57.20%,78.30%,49.70%,6.4,10.00%,60.00%,75.10%,53.90%,6.4,2.20%,66.00%,62.80%,50.30%,6.9,http://www.wilson.com/sites/default/files/styles/athelete_image/public/Lopez.jpg?itok=FdF_QIQh,1,7,31.png
32,Damir Dzumhur [BIH],45,51.10%,2.90%,66.50%,63.50%,51.50%,6.5,3.20%,64.00%,62.90%,51.00%,6.4,2.70%,70.80%,64.40%,52.80%,6.5,2.90%,65.80%,66.80%,54.60%,6.4,http://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/1842.png&w=350&h=254,3,7,32.png
